Id,SalePrice
2658,121929.27232677347
2718,165526.1391958615
2414,226690.8787884001
1989,126741.55647165145
625,177431.17158310072
333,73354.6219615199
1327,107814.30613545355
858,151913.0587369234
95,187683.19859013215
1568,164839.73299219043
2482,149845.4198921582
1364,125911.50815211024
2584,139772.05233253236
818,271767.2780741356
2673,159699.0042949823
2089,139025.92084392693
1297,152935.75534269356
790,127206.68238272525
2616,189442.6246793677
720,204713.63987742172
222,149141.67608038575
557,128350.55700305462
1148,175975.93360310883
2766,179383.74311772725
534,183000.3550823659
1452,127931.65036001126
630,139683.6764152369
2648,159754.81097807852
125,172937.70561547464
1904,49234.817917313805
1670,102765.6923359549
756,108272.10596874598
717,247355.83294425264
1032,149786.07420226315
852,219905.2419031093
1731,176959.1625304022
2639,111029.10702136815
2071,70974.78749577224
1267,143559.0759626282
1851,201602.2047965998
567,165358.11913090243
2439,211377.74763752247
1898,157531.29832027826
647,176475.69628221623
2256,219621.49136486845
979,91321.17422621367
1444,232805.64334515494
2485,117464.99214353428
157,127572.07724067266
88,125163.1574268181
2003,106959.78838524611
186,227180.83386554633
1425,244176.92781915353
2695,128718.3158797303
738,123848.91182854868
395,164288.63977540407
1353,161745.9201818392
1878,157438.3305578756
390,164682.66298251913
1456,238139.81625570118
1103,321913.37008227676
1387,117101.43123007349
2070,155278.32803011785
1199,174461.07371384496
2479,183904.5010490392
501,334332.19613386155
2362,87345.22351643101
1718,242899.9727208495
2188,88128.76872010379
1483,165212.80730078698
2557,89532.70645687656
437,362851.5935049325
2224,183135.16904334683
1628,181686.59633049744
397,124092.35176932355
587,197286.74800391833
2182,482026.56864724593
971,155262.62616295237
2611,139329.04550912816
1887,94740.18094718816
2399,384050.2569129077
2148,198990.98447569128
304,142261.76670907583
1997,146041.49367654134
2817,127945.19532205418
1431,202810.73801558724
427,354433.4136344956
263,127912.7929052423
598,192440.3301101334
2895,230573.9244675935
687,152837.60795166309
1822,138159.84748489124
2191,107871.17933994897
179,120159.85656954443
1009,269669.7408107105
2010,122213.14449420376
1991,147162.32925287928
1411,177307.48486911642
1721,263542.2667005367
1144,200978.78204921292
593,227311.30311296874
575,301524.7117465443
1249,186631.9312483214
1604,124287.74874341156
1064,448248.6368616588
1923,150161.1036518523
1988,122794.97977769436
2325,175501.66440676214
114,195831.5648040496
2700,159483.56016111776
217,132498.00936698946
343,184210.6785871164
386,247205.86248070537
2005,136959.9320335676
2908,115969.63387885029
1814,242323.49898749706
2446,442274.022322439
208,149585.40553971066
1679,90868.13796830531
822,315432.2026583019
6,186521.02698745066
1781,379540.9803308784
2397,322648.96848363127
2340,337741.61319391744
1618,174171.90616131361
2843,145690.18159171668
1061,373629.6231110804
2786,116869.94899421706
1935,134115.7278404131
1341,140057.30015359813
521,266961.59458622284
2136,141557.9477971907
996,214633.6297163609
227,138554.45377184884
135,185256.0359716987
1167,156722.86961102445
294,217816.90882473427
1776,204170.04469110363
540,178142.46135190764
1717,241925.62830880762
2303,120825.18650011017
116,205718.88267296954
127,154414.2656681158
1371,136066.64744794375
1014,171714.9786471907
1507,103430.26951683797
702,147448.6531492621
750,149799.09000284408
261,146981.5562323662
1559,70202.18618041903
577,205946.6954877817
2812,195324.85158095573
2080,152730.8691745419
1368,126754.12659981576
2376,135304.89228882096
659,127526.88613774117
1235,128634.34113909965
332,63160.58636585473
1917,154168.86098456086
2094,233281.06380886515
1460,258057.9444243157
1471,220436.68453939306
1509,121865.7145120844
1922,117539.67439667959
433,453660.8389057914
460,294997.46022534673
1116,247383.08007781513
1137,172384.06746666666
53,170676.04321436406
2354,263848.68561743374
1475,197548.83987619818
1761,439550.6268497198
842,133595.57893588574
2739,179119.12403135345
2509,167466.93518910033
1007,212887.87195747806
2610,177082.35449277743
1952,102405.58408624274
2719,166439.41441986075
2921,72653.45518576358
1966,141355.8894274304
292,133601.2945840124
1204,195990.67908578028
1829,256100.58456041457
2419,188240.12566070116
391,157537.45520674737
798,129863.7652333739
481,214562.55373326113
193,200803.4589181142
555,124258.53190490796
899,61627.73771868477
2357,177931.92054772703
328,125563.71259729474
1356,132967.8238930803
1154,97393.54885702286
1730,185239.52307798222
2249,164368.3137085368
1119,297663.9239792956
2856,146032.47906922927
1394,133957.0197988802
2587,129272.43902709418
61,317600.7868067601
2661,177148.03079605053
2711,136643.583435086
1147,184013.6138421751
757,146477.55103223186
2623,98107.0461680352
2378,135644.40202467504
1413,151226.2274303269
1722,251704.59694910794
1112,229208.91243596055
1623,189204.22388632508
1201,207692.4841768626
1513,121744.82725192359
957,356745.9674944227
1171,265743.0249271112
1145,202791.04566947278
2726,215933.14577766898
703,154882.19379295566
760,120528.88862386593
1964,157288.28177613375
2512,198688.94073408825
159,156086.71101647292
1281,184584.50980431013
468,189002.522725516
290,126276.690949326
665,121530.17943738206
1463,247421.01717192295
1792,225078.99303787178
923,125180.97396452125
500,290408.3016062961
1408,176155.01480072786
331,94234.83668237943
170,165560.04042210098
2192,98391.51054641136
2571,280434.62979082274
2314,167314.2893609671
2647,92380.4668973124
422,421052.1301715734
2457,334771.68170092115
1838,185201.611636846
2805,238084.03227768422
1645,161330.53722452716
1711,327489.5272533329
2825,229373.107009607
322,313220.9467397976
2103,249769.2039694981
342,124073.91348184261
600,113893.60170918706
488,172504.96241109003
1725,310100.3938281195
2246,254487.5105218314
2847,152074.7009255979
806,237529.56122234827
530,240841.81403551387
963,180644.00579914785
2678,99547.48494005956
171,96440.67543590002
2401,426326.7607498814
805,223151.76509844267
2259,232576.47025211327
1748,203890.08257337916
1361,137323.27076932037
1677,103936.56279941973
1406,163400.3407844968
2322,203161.87251834507
688,149276.9772865916
143,134273.49638030695
804,206409.0049820614
1214,189463.85970074995
2828,180049.48662713557
1999,196626.4077081769
2467,210527.11221832226
2665,183294.4824398834
1538,311002.2887827855
398,111824.32131443016
2822,140920.30218237394
2157,157470.2560999804
1856,189488.89153422098
1269,109797.03472052365
2570,109113.167767505
2320,233807.65182154265
1517,123141.77540906734
2304,113846.03522989027
1312,110220.35385456512
2012,137629.87106247176
506,257534.62867960078
2865,176046.56491963172
2367,96561.69620747089
554,103553.15426290719
238,140811.32587395792
1954,95885.05514040039
2488,149087.1316979699
2291,68927.4287505278
1969,111541.69589040022
2725,172031.65177857323
1482,159553.688610937
2763,211926.80430369044
503,278966.38353368675
1584,256812.32516914062
1531,144817.18682752596
2210,160054.6349322563
459,337894.6063951119
556,118416.02572331813
1347,143121.89478175816
1290,83691.36507732185
1388,95415.11994631893
1571,225241.0101686585
2754,209661.8966387052
765,155759.3419415486
2494,110279.07815358475
2870,209661.97858540976
7,276218.5422197636
1114,244119.7152589663
2418,258724.75609330676
291,133642.3461733119
18,390262.46906688483
39,382128.12208833685
1001,297836.39086591196
2442,228689.93163239537
616,136230.96647927177
2680,70246.73895944883
1414,127927.59192026267
289,159364.16820852793
40,274554.7441892733
860,144910.27138432625
409,105790.92750749021
673,171954.90531791456
2427,176185.48190166263
2036,213930.28242736327
2564,133116.35855153776
642,164531.63288788297
1008,182411.49741809524
1908,144512.07160140638
2519,212542.3753741317
1369,106514.88873749426
2855,163093.49386979445
712,103520.94282037421
1943,129863.34626019493
1958,134618.0009129596
107,189016.11926187057
2295,224787.7065037472
704,111299.01968439523
676,133848.50699317973
259,178810.07757565688
93,292041.1792036847
106,256722.64600975387
2315,168963.96816538903
1050,102449.09404492905
1095,230754.87912857128
2709,154946.74150463307
758,154291.08277681205
1496,186234.89056127265
2370,103269.11441375097
2458,280217.2613852079
2733,131510.18236277095
161,259885.9211799372
726,163701.08955808464
845,228317.80385968275
947,247132.77286763082
2232,111516.19055005563
2563,143659.45855015094
2299,134338.7394883172
211,75886.72054236522
605,157659.845821551
1478,204824.4725740561
2247,258089.47666754623
2274,233686.4395293531
2869,206761.2823654656
967,210444.09922476264
2656,107894.33958173037
667,201017.3182736445
1042,96809.10778400452
2023,157424.16195746668
2447,375658.4263903798
2055,135496.83656876627
2275,268506.9150310306
2204,176530.8162312009
1563,248087.63327052043
483,246441.05046577175
796,132186.94955077767
1526,130156.56212613056
2042,146624.96189230634
442,367965.36561570107
1693,327958.3249253299
1468,221268.59308196232
1430,184037.42707040883
2605,170415.76790136073
1529,207495.5080664193
335,118449.96752795315
1287,128651.48548034158
31,89100.45264030936
1785,296071.87845683855
82,146723.54208691092
2620,145797.59481719157
252,175656.2806368982
721,83674.59675789336
2165,185859.80664682543
2316,191335.26057264672
775,146354.69424223306
1558,89673.06877943121
17,206310.31277056906
1022,238834.59444869534
925,113153.14328402217
438,302449.20722157677
1270,144972.16024535248
1272,110705.22545293478
215,134050.40343748077
266,233703.2989196895
2402,331968.09717102
1250,134335.2737452456
1984,139006.67338393492
1279,147497.71295899086
377,239194.23245960654
1252,152051.2879596065
2156,257709.1203687362
499,338501.22756756446
1374,110776.10139638656
2898,221004.49268811394
401,101553.5837098003
2721,169511.69885257885
2078,244897.5651574478
2589,118748.7056284028
1946,210743.43432210397
1334,123503.83714037485
2781,208370.41143311214
431,390781.2715826088
576,201736.10501569498
1474,214907.68675729612
2254,144494.583108217
2155,285990.5603270208
885,125521.07806222528
643,142052.4343091424
1944,138001.9491586783
480,209224.49127531363
2845,129526.46268165205
2387,319670.189009027
2407,222770.2895556815
2527,165260.61303877394
2514,160357.74446928632
629,171300.01643901263
80,200128.83689572156
1876,138521.24103454026
1546,124284.21388038251
2518,177769.21280962523
2347,171520.3752095766
783,227540.09329042694
1322,56836.485780362564
194,95964.62703852462
1770,305024.3138321126
2143,162338.9509271552
1229,226584.91326149335
511,285383.45296239306
46,247267.17362732597
1348,175586.66340232588
2465,209529.0854914032
387,249776.55973110942
873,225451.4354434708
1918,103962.38271518526
2764,243736.25474567106
2184,121651.71781490583
934,156420.65497651222
1920,126919.82557267573
2631,153114.9725637784
1768,479032.17198485835
2040,120753.48356023226
1749,228593.0842722407
834,231882.13326383647
1457,225915.91045666786
79,98484.75589845929
2302,124381.11554879279
1817,148989.31784003746
